"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.13.100.14" -16.40673992 -71.49515523 "2" "1"
"1.13.100.13" -16.4067572 -71.49525272 "2" "1"
"1.13.100.11A" -16.40678943 -71.4954021 "2" "1"
"1.13.100.246" -16.40723305 -71.49376915 "2" "9"
"1.13.100.7" -16.40689449 -71.49586056 "2" "1"
"1.13.100.6" -16.40692665 -71.4959798 "2" "1"
"1.13.100.4" -16.40698462 -71.49614516 "2" "1"
"1.13.100.8A" -16.40688068 -71.49572421 "2" "1"
"1.13.100.184" -16.40686354 -71.49419942 "2" "7"
"1.13.100.251" -16.40870898 -71.49324243 "2" "10"
"1.13.100.5" -16.40696524 -71.49605547 "2" "1"
"1.13.100.183C" -16.4068629 -71.49422793 "2" "7"
"1.13.100.262" -16.40955476 -71.4932016 "2" "10"
"1.13.100.186" -16.4069404 -71.49406339 "2" "7"
"1.13.100.3" -16.40702897 -71.49621123 "2" "1"
"1.13.100.245" -16.40733192 -71.49375123 "2" "9"
"1.13.100.5A" -16.40697755 -71.49602963 "2" "1"
"1.13.100.183" -16.40686928 -71.49427223 "2" "7"
"1.13.100.358" -16.40735026 -71.49296447 "2" "13"
"1.13.100.183B" -16.40689782 -71.49422964 "2" "7"
"1.13.100.354" -16.40770769 -71.49293528 "2" "13"
"1.13.100.183A" -16.40689658 -71.4942566 "2" "7"
"1.13.100.2" -16.40709326 -71.49628338 "2" "1"
"1.13.100.17" -16.40679648 -71.4947839 "2" "1"
"1.13.100.244" -16.40746666 -71.49371117 "2" "9"
"1.13.100.1" -16.40714569 -71.49640484 "2" "1"
"1.13.100.242" -16.40761615 -71.49364301 "2" "9"
"1.13.100.182" -16.406903 -71.49437525 "2" "7"
"1.13.100.237A" -16.40796303 -71.49351565 "2" "9"
"1.13.100.241" -16.40770865 -71.49363687 "2" "9"
"1.13.100.240" -16.40777243 -71.49361222 "2" "9"
"1.13.100.243" -16.40756445 -71.49373197 "2" "9"
"1.13.100.250" -16.40870259 -71.49335819 "2" "10"
"1.13.100.188" -16.40715737 -71.49401743 "2" "7"
"1.13.100.181" -16.40696234 -71.49453007 "2" "7"
"1.13.100.237" -16.40801896 -71.49357529 "2" "9"
"1.13.100.35" -16.40725812 -71.49639465 "2" "1"
"1.13.100.238" -16.40792287 -71.4936219 "2" "9"
"1.13.100.18" -16.40692172 -71.49474913 "2" "1"
"1.13.100.239" -16.40784868 -71.49366699 "2" "9"
"1.13.100.180B" -16.40704428 -71.4945011 "2" "7"
"1.13.100.264" -16.40944736 -71.49338687 "2" "10"
"1.13.100.189" -16.4072695 -71.49399929 "2" "7"
"1.13.100.34" -16.4073469 -71.49636897 "2" "1"
"1.13.100.180A" -16.40709205 -71.49447202 "2" "7"
"1.13.100.249A" -16.40871326 -71.49344823 "2" "10"
"1.13.100.265" -16.40928387 -71.49343296 "2" "10"
"1.13.100.190" -16.40736988 -71.49397066 "2" "7"
"1.13.100.30" -16.40718486 -71.49572537 "2" "1"
"1.13.100.266" -16.40918029 -71.49345002 "2" "10"
"1.13.100.33" -16.40732213 -71.49610893 "2" "1"
"1.13.100.249" -16.40874071 -71.49350165 "2" "10"
"1.13.100.267" -16.4090468 -71.49347643 "2" "10"
"1.13.100.32A" -16.40731026 -71.49603352 "2" "1"
"1.13.100.32" -16.40730009 -71.49600131 "2" "1"
"1.13.100.31" -16.40725957 -71.49585778 "2" "1"
"1.13.100.268" -16.40897237 -71.49349845 "2" "10"
"1.13.100.269" -16.40884409 -71.49352013 "2" "10"
"1.13.100.191" -16.40749288 -71.49395112 "1" "7"
"1.13.100.179A" -16.40726176 -71.49444705 "1" "7"
"1.13.100.29" -16.40723623 -71.49557988 "1" "1"
"1.13.100.191B" -16.40754331 -71.49392941 "1" "7"
"1.13.100.191A" -16.40751548 -71.49398368 "1" "7"
"1.13.100.28" -16.4072329 -71.4954439 "1" "1"
"1.13.100.21" -16.40717075 -71.49484962 "1" "1"
"1.13.100.26" -16.40721583 -71.49525228 "1" "1"
"1.13.100.25" -16.40720195 -71.49512426 "1" "1"
"1.13.100.211" -16.40651429 -71.49357418 "1" "8"
"1.13.100.179" -16.40735168 -71.49446183 "1" "7"
"1.13.100.192" -16.4076864 -71.49392448 "1" "7"
"1.13.100.212" -16.40653274 -71.49368288 "1" "8"
"1.13.100.193" -16.40770776 -71.49401188 "1" "7"
"1.13.100.178" -16.40753096 -71.494427 "1" "7"
"1.13.100.194" -16.40771848 -71.49411943 "1" "7"
"1.13.100.177" -16.40761615 -71.49442051 "1" "7"
"1.13.100.195" -16.40774887 -71.49424277 "1" "7"
"1.13.100.232" -16.40729832 -71.49321954 "1" "9"
"1.13.100.225" -16.40678159 -71.49351997 "1" "9"
"1.13.100.176" -16.40772074 -71.49439733 "1" "7"
"1.13.100.36" -16.40761877 -71.49634023 "1" "2"
"1.13.100.162A" -16.40953812 -71.4936113 "1" "5"
"1.13.100.37" -16.40757881 -71.49621388 "1" "2"
"1.13.100.162" -16.40943338 -71.49364972 "1" "5"
"1.13.100.38" -16.40757968 -71.49610189 "1" "2"
"1.13.100.161" -16.40928427 -71.49368904 "1" "5"
"1.13.100.52" -16.40736888 -71.49472521 "1" "2"
"1.13.100.160" -16.40904164 -71.49369445 "1" "5"
"1.13.100.51" -16.40736782 -71.49486774 "1" "2"
"1.13.100.159" -16.40894607 -71.49372117 "1" "5"
"1.13.100.41" -16.4075182 -71.49571301 "1" "2"
"1.13.100.159A" -16.40897364 -71.49372834 "1" "5"
"1.13.100.158" -16.40886559 -71.49373528 "1" "5"
"1.13.100.46" -16.40741582 -71.4952294 "1" "2"
"1.13.100.45" -16.40743328 -71.49529898 "1" "2"
"1.13.100.42" -16.40751326 -71.49563677 "1" "2"
"1.13.100.43" -16.4074871 -71.49552754 "1" "2"
"1.13.100.44" -16.40746563 -71.49542146 "1" "2"
"1.13.100.260" -16.409505 -71.49306959 "1" "10"
"1.13.100.48A" -16.40742327 -71.49507231 "1" "2"
"1.13.100.156" -16.40867058 -71.4937795 "1" "5"
"1.13.100.74" -16.40783425 -71.4962977 "1" "2"
"1.13.100.157" -16.4088028 -71.49378653 "1" "5"
"1.13.100.155" -16.40851724 -71.49383677 "1" "5"
"1.13.100.73A" -16.40785624 -71.49626502 "1" "2"
"1.13.100.53" -16.40749722 -71.49467864 "1" "2"
"1.13.100.261" -16.40950983 -71.49312381 "1" "10"
"1.13.100.73" -16.40789487 -71.4962925 "1" "2"
"1.13.100.12" -16.40678403 -71.49534685 "1" "1"
"1.13.100.8" -16.40686495 -71.49577038 "1" "1"
"1.13.100.72" -16.40794873 -71.49626965 "1" "2"
"1.13.100.154" -16.40853866 -71.49397464 "1" "5"
"1.13.100.71A" -16.40800531 -71.49628144 "1" "2"
"1.13.100.54" -16.40763187 -71.49465073 "1" "2"
"1.13.100.187" -16.40706826 -71.49405026 "1" "7"
"1.13.100.70" -16.40801412 -71.49614639 "1" "2"
"1.13.100.68" -16.40794334 -71.49598773 "1" "2"
"1.13.100.153" -16.40858174 -71.49407219 "1" "5"
"1.13.100.69" -16.40799087 -71.49605091 "1" "2"
"1.13.100.67" -16.40793575 -71.49588101 "1" "2"
"1.13.100.172" -16.40907404 -71.49409372 "1" "5"
"1.13.100.55" -16.40778324 -71.49464201 "1" "2"
"1.13.100.56" -16.40775871 -71.49477146 "1" "2"
"1.13.100.152" -16.40858614 -71.49414681 "1" "5"
"1.13.100.263" -16.40958003 -71.49335768 "1" "10"
"1.13.100.66" -16.40792641 -71.49572877 "1" "2"
"1.13.100.173" -16.40895841 -71.49416193 "1" "5"
"1.13.100.59" -16.40779999 -71.49510425 "1" "2"
"1.13.100.61A" -16.40783712 -71.49528116 "1" "2"
"1.13.100.57" -16.4078264 -71.49490275 "1" "2"
"1.13.100.63" -16.40788273 -71.4954463 "1" "2"
"1.13.100.173A" -16.40889558 -71.49420018 "1" "5"
"1.13.100.174" -16.40885392 -71.49420704 "1" "5"
"1.13.100.65" -16.4079424 -71.49562014 "1" "2"
"1.13.100.64" -16.40792001 -71.49552731 "1" "2"
"1.13.100.62" -16.40788003 -71.49532704 "1" "2"
"1.13.100.60" -16.40786343 -71.49514511 "1" "2"
"1.13.100.151" -16.4085871 -71.49426318 "1" "5"
"1.13.100.61" -16.40787636 -71.49524512 "1" "2"
"1.13.100.180" -16.40711747 -71.49450947 "1" "7"
"1.13.100.27" -16.40721604 -71.4953338 "1" "1"
"1.13.100.24" -16.40718638 -71.4950559 "1" "1"
"1.13.100.23" -16.40719231 -71.49500162 "1" "1"
"1.13.100.77A" -16.40820442 -71.49619994 "1" "3"
"1.13.100.77" -16.40824575 -71.49622633 "1" "3"
"1.13.100.114" -16.40831266 -71.49624065 "1" "3"
"1.13.100.91" -16.40799073 -71.49460127 "1" "3"
"1.13.100.78" -16.40820895 -71.49607304 "1" "3"
"1.13.100.79" -16.40820783 -71.49601523 "1" "3"
"1.13.100.113A" -16.40838041 -71.4961845 "1" "3"
"1.13.100.90" -16.40800325 -71.49475992 "1" "3"
"1.13.100.89" -16.40801139 -71.49485799 "1" "3"
